time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-23 00:00:00+00:00,3.0,3.0,5,5
2025-09-24 00:00:00+00:00,,,6,6
2025-09-25 00:00:00+00:00,6.0,6.0,2,1
2025-09-26 00:00:00+00:00,3.0,3.0,7,3
2025-09-27 00:00:00+00:00,6.0,2.0,2,2
2025-09-28 00:00:00+00:00,8.0,4.0,10,4
2025-09-29 00:00:00+00:00,6.0,6.0,4,3
2025-09-30 00:00:00+00:00,9.0,9.0,4,4
2025-10-01 00:00:00+00:00,3.0,3.0,3,3
2025-10-02 00:00:00+00:00,1.0,1.0,4,3
2025-10-03 00:00:00+00:00,7.0,7.0,6,6
2025-10-04 00:00:00+00:00,3.0,3.0,3,3
2025-10-05 00:00:00+00:00,7.0,7.0,1,1
2025-10-06 00:00:00+00:00,3.0,3.0,10,6
