referrer,views_total,views_unique
github.com,42,11
summerofcode.withgoogle.com,37,3
Google,27,23
theopenroadproject.org,9,7
Bing,3,2
huggingface.co,2,1
chatgpt.com,2,1
Baidu,2,1
