time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-19 00:00:00+00:00,13,7,94,9
2026-03-20 00:00:00+00:00,3,3,26,7
2026-03-21 00:00:00+00:00,25,8,10,9
2026-03-22 00:00:00+00:00,58,12,7,5
2026-03-23 00:00:00+00:00,18,8,11,6
2026-03-24 00:00:00+00:00,4,4,10,3
2026-03-25 00:00:00+00:00,12,8,17,9
2026-03-26 00:00:00+00:00,49,24,46,6
2026-03-27 00:00:00+00:00,16,6,12,4
2026-03-28 00:00:00+00:00,37,14,39,8
2026-03-29 00:00:00+00:00,31,12,11,6
2026-03-30 00:00:00+00:00,29,22,7,4
2026-03-31 00:00:00+00:00,26,17,16,5
2026-04-01 00:00:00+00:00,43,20,20,4
