time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-03 00:00:00+00:00,4,4,13.0,5.0
2025-09-04 00:00:00+00:00,6,6,30.0,5.0
2025-09-05 00:00:00+00:00,3,3,1.0,1.0
2025-09-06 00:00:00+00:00,6,6,1.0,1.0
2025-09-07 00:00:00+00:00,17,14,7.0,3.0
2025-09-08 00:00:00+00:00,3,3,9.0,6.0
2025-09-09 00:00:00+00:00,3,3,4.0,3.0
2025-09-10 00:00:00+00:00,14,12,22.0,11.0
2025-09-11 00:00:00+00:00,7,6,11.0,3.0
2025-09-12 00:00:00+00:00,7,7,4.0,4.0
2025-09-13 00:00:00+00:00,4,4,3.0,3.0
2025-09-14 00:00:00+00:00,2,2,11.0,8.0
2025-09-15 00:00:00+00:00,4,4,3.0,3.0
2025-09-16 00:00:00+00:00,11,5,,
