referrer,views_total,views_unique
Google,52,22
github.com,45,15
Bing,11,3
summerofcode.withgoogle.com,11,2
theopenroadproject.org,5,5
ucsc-ospo.github.io,3,1
antmicro.com,2,1
chatgpt.com,2,1
Yahoo,1,1
com.linkedin.android,1,1
