time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-09 00:00:00+00:00,3,3,4.0,3.0
2025-09-10 00:00:00+00:00,14,12,22.0,11.0
2025-09-11 00:00:00+00:00,7,6,11.0,3.0
2025-09-12 00:00:00+00:00,7,7,4.0,4.0
2025-09-13 00:00:00+00:00,4,4,3.0,3.0
2025-09-14 00:00:00+00:00,2,2,11.0,8.0
2025-09-15 00:00:00+00:00,4,4,3.0,3.0
2025-09-16 00:00:00+00:00,16,10,,
2025-09-17 00:00:00+00:00,1,1,20.0,5.0
2025-09-18 00:00:00+00:00,4,4,2.0,2.0
2025-09-19 00:00:00+00:00,18,13,,
2025-09-20 00:00:00+00:00,15,9,8.0,5.0
2025-09-21 00:00:00+00:00,5,5,6.0,4.0
2025-09-22 00:00:00+00:00,1,1,15.0,8.0
