referrer,views_total,views_unique
github.com,51,10
Google,30,14
theopenroadproject.org,6,6
Bing,6,3
summerofcode.withgoogle.com,2,2
Yahoo,1,1
chatgpt.com,1,1
com.linkedin.android,1,1
yandex.ru,1,1
