time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-04 00:00:00+00:00,2,2,19.0,7.0
2025-05-05 00:00:00+00:00,5,2,,
2025-05-06 00:00:00+00:00,5,2,16.0,3.0
2025-05-07 00:00:00+00:00,2,2,12.0,9.0
2025-05-08 00:00:00+00:00,3,3,2.0,2.0
2025-05-09 00:00:00+00:00,7,4,8.0,5.0
2025-05-10 00:00:00+00:00,5,2,4.0,4.0
2025-05-11 00:00:00+00:00,5,5,2.0,2.0
2025-05-12 00:00:00+00:00,2,2,13.0,8.0
2025-05-13 00:00:00+00:00,4,3,3.0,3.0
2025-05-14 00:00:00+00:00,5,2,34.0,10.0
2025-05-15 00:00:00+00:00,4,2,7.0,4.0
2025-05-16 00:00:00+00:00,5,4,16.0,9.0
2025-05-17 00:00:00+00:00,3,2,15.0,6.0
