time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-25 00:00:00+00:00,13,7,9,6
2025-12-26 00:00:00+00:00,10,4,5,4
2025-12-27 00:00:00+00:00,10,4,6,6
2025-12-28 00:00:00+00:00,26,10,7,5
2025-12-29 00:00:00+00:00,17,13,5,2
2025-12-30 00:00:00+00:00,18,7,3,3
2025-12-31 00:00:00+00:00,7,3,22,3
2026-01-01 00:00:00+00:00,5,5,3,3
2026-01-02 00:00:00+00:00,8,4,4,4
2026-01-03 00:00:00+00:00,9,5,10,4
2026-01-04 00:00:00+00:00,24,10,15,3
2026-01-05 00:00:00+00:00,3,3,6,3
2026-01-06 00:00:00+00:00,15,8,36,6
2026-01-07 00:00:00+00:00,12,4,16,5
