referrer,views_total,views_unique
Google,32,13
summerofcode.withgoogle.com,27,4
github.com,21,9
Bing,8,4
theopenroadproject.org,7,7
chatgpt.com,1,1
com.linkedin.android,1,1
yandex.ru,1,1
