time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,46,20,14,5
2026-04-14 00:00:00+00:00,17,9,23,8
2026-04-15 00:00:00+00:00,92,26,34,7
2026-04-16 00:00:00+00:00,39,13,5,5
2026-04-17 00:00:00+00:00,39,11,10,7
2026-04-18 00:00:00+00:00,42,12,4,4
2026-04-19 00:00:00+00:00,102,29,9,6
2026-04-20 00:00:00+00:00,75,33,8,5
2026-04-21 00:00:00+00:00,119,46,7,7
2026-04-22 00:00:00+00:00,125,38,2,2
2026-04-23 00:00:00+00:00,109,33,4,3
2026-04-24 00:00:00+00:00,155,49,3,3
2026-04-25 00:00:00+00:00,79,33,4,4
2026-04-26 00:00:00+00:00,50,15,6,5
