time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-07 00:00:00+00:00,6,6,4,4
2026-02-08 00:00:00+00:00,57,20,14,7
2026-02-09 00:00:00+00:00,19,12,36,8
2026-02-10 00:00:00+00:00,8,4,17,13
2026-02-11 00:00:00+00:00,19,8,9,6
2026-02-12 00:00:00+00:00,21,9,6,5
2026-02-13 00:00:00+00:00,38,14,10,5
2026-02-14 00:00:00+00:00,42,19,3,2
2026-02-15 00:00:00+00:00,30,15,5,5
2026-02-16 00:00:00+00:00,40,22,10,6
2026-02-17 00:00:00+00:00,52,21,9,5
2026-02-18 00:00:00+00:00,22,10,5,5
2026-02-19 00:00:00+00:00,31,12,21,9
2026-02-20 00:00:00+00:00,24,8,45,14
