time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-04 00:00:00+00:00,2,2,13,6
2025-03-05 00:00:00+00:00,2,2,39,8
2025-03-06 00:00:00+00:00,7,3,8,6
2025-03-07 00:00:00+00:00,6,4,7,6
2025-03-08 00:00:00+00:00,5,2,4,2
2025-03-09 00:00:00+00:00,8,4,27,6
2025-03-10 00:00:00+00:00,6,4,18,9
2025-03-11 00:00:00+00:00,10,6,11,8
2025-03-12 00:00:00+00:00,2,2,16,7
2025-03-13 00:00:00+00:00,9,5,19,7
2025-03-14 00:00:00+00:00,4,2,14,9
2025-03-15 00:00:00+00:00,6,3,3,2
2025-03-16 00:00:00+00:00,6,4,4,2
2025-03-17 00:00:00+00:00,8,6,38,9
