time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,15,10,3,2
2026-04-07 00:00:00+00:00,9,5,22,11
2026-04-08 00:00:00+00:00,36,9,5,3
2026-04-09 00:00:00+00:00,40,14,2,2
2026-04-10 00:00:00+00:00,32,12,10,7
2026-04-11 00:00:00+00:00,48,15,5,5
2026-04-12 00:00:00+00:00,5,4,9,7
2026-04-13 00:00:00+00:00,46,20,14,5
2026-04-14 00:00:00+00:00,17,9,23,8
2026-04-15 00:00:00+00:00,92,26,34,7
2026-04-16 00:00:00+00:00,39,13,5,5
2026-04-17 00:00:00+00:00,39,11,10,7
2026-04-18 00:00:00+00:00,42,12,4,4
2026-04-19 00:00:00+00:00,102,29,9,6
