time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-11 00:00:00+00:00,8.0,4.0,25,13
2025-12-12 00:00:00+00:00,13.0,11.0,18,7
2025-12-13 00:00:00+00:00,11.0,7.0,3,3
2025-12-14 00:00:00+00:00,20.0,10.0,5,5
2025-12-15 00:00:00+00:00,15.0,6.0,12,7
2025-12-16 00:00:00+00:00,11.0,7.0,7,3
2025-12-17 00:00:00+00:00,9.0,5.0,4,4
2025-12-18 00:00:00+00:00,8.0,4.0,4,4
2025-12-19 00:00:00+00:00,5.0,5.0,4,3
2025-12-20 00:00:00+00:00,8.0,4.0,6,3
2025-12-21 00:00:00+00:00,28.0,18.0,1,1
2025-12-22 00:00:00+00:00,5.0,5.0,6,6
2025-12-23 00:00:00+00:00,9.0,5.0,7,5
2025-12-24 00:00:00+00:00,,,3,2
