time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-28 00:00:00+00:00,1,1,,
2025-07-29 00:00:00+00:00,1,1,6.0,5.0
2025-07-30 00:00:00+00:00,6,6,7.0,5.0
2025-07-31 00:00:00+00:00,3,3,7.0,6.0
2025-08-01 00:00:00+00:00,4,4,10.0,5.0
2025-08-02 00:00:00+00:00,2,2,5.0,3.0
2025-08-03 00:00:00+00:00,9,8,16.0,8.0
2025-08-04 00:00:00+00:00,3,3,17.0,10.0
2025-08-05 00:00:00+00:00,3,3,12.0,4.0
2025-08-06 00:00:00+00:00,2,2,11.0,5.0
2025-08-07 00:00:00+00:00,1,1,18.0,7.0
2025-08-08 00:00:00+00:00,4,4,11.0,5.0
2025-08-09 00:00:00+00:00,7,7,8.0,4.0
2025-08-10 00:00:00+00:00,2,2,,
