time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-23 00:00:00+00:00,16,6,6,4
2025-10-24 00:00:00+00:00,14,8,3,3
2025-10-25 00:00:00+00:00,18,12,13,5
2025-10-26 00:00:00+00:00,10,9,10,9
2025-10-27 00:00:00+00:00,5,5,6,6
2025-10-28 00:00:00+00:00,7,5,9,7
2025-10-29 00:00:00+00:00,13,7,10,9
2025-10-30 00:00:00+00:00,11,10,7,6
2025-10-31 00:00:00+00:00,10,5,4,4
2025-11-01 00:00:00+00:00,6,6,5,3
2025-11-02 00:00:00+00:00,22,14,19,3
2025-11-03 00:00:00+00:00,17,7,4,4
2025-11-04 00:00:00+00:00,13,8,3,3
2025-11-05 00:00:00+00:00,10,5,3,3
