referrer,views_total,views_unique
github.com,45,11
Google,31,22
summerofcode.withgoogle.com,23,2
theopenroadproject.org,9,6
Bing,3,2
Baidu,2,1
cn.bing.com,1,1
m.baidu.com,1,1
