time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-11 00:00:00+00:00,11.0,11.0,9,6
2025-07-12 00:00:00+00:00,6.0,6.0,6,2
2025-07-13 00:00:00+00:00,14.0,14.0,7,7
2025-07-14 00:00:00+00:00,8.0,8.0,7,7
2025-07-15 00:00:00+00:00,7.0,7.0,76,9
2025-07-16 00:00:00+00:00,4.0,3.0,6,3
2025-07-17 00:00:00+00:00,3.0,3.0,32,8
2025-07-18 00:00:00+00:00,1.0,1.0,37,5
2025-07-19 00:00:00+00:00,3.0,3.0,9,4
2025-07-20 00:00:00+00:00,5.0,5.0,6,4
2025-07-21 00:00:00+00:00,2.0,2.0,16,9
2025-07-22 00:00:00+00:00,1.0,1.0,26,10
2025-07-23 00:00:00+00:00,5.0,4.0,91,7
2025-07-24 00:00:00+00:00,,,23,8
