referrer,views_total,views_unique
summerofcode.withgoogle.com,40,10
the-openroad-project.github.io,24,1
Google,20,14
github.com,13,11
ucsc-ospo.github.io,9,2
theopenroadproject.org,7,4
Bing,4,4
cn.bing.com,4,4
search.brave.com,4,3
DuckDuckGo,1,1
