time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-07 00:00:00+00:00,17,6,3,3
2026-07-08 00:00:00+00:00,19,7,0,0
2026-07-09 00:00:00+00:00,20,10,4,2
2026-07-10 00:00:00+00:00,19,15,11,5
2026-07-11 00:00:00+00:00,42,16,3,3
2026-07-12 00:00:00+00:00,66,31,67,6
2026-07-13 00:00:00+00:00,10,10,7,4
2026-07-14 00:00:00+00:00,29,15,7,4
2026-07-15 00:00:00+00:00,10,5,7,4
2026-07-16 00:00:00+00:00,40,16,6,4
2026-07-17 00:00:00+00:00,16,10,6,2
2026-07-18 00:00:00+00:00,21,13,12,4
2026-07-19 00:00:00+00:00,44,16,2,2
2026-07-20 00:00:00+00:00,13,9,23,11
