time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-17 00:00:00+00:00,2.0,2.0,7,7
2025-04-18 00:00:00+00:00,2.0,2.0,84,7
2025-04-19 00:00:00+00:00,4.0,3.0,59,11
2025-04-20 00:00:00+00:00,6.0,5.0,8,6
2025-04-21 00:00:00+00:00,5.0,3.0,3,3
2025-04-22 00:00:00+00:00,4.0,2.0,11,7
2025-04-23 00:00:00+00:00,6.0,3.0,5,5
2025-04-24 00:00:00+00:00,3.0,2.0,508,7
2025-04-25 00:00:00+00:00,2.0,2.0,16,7
2025-04-26 00:00:00+00:00,7.0,4.0,1,1
2025-04-27 00:00:00+00:00,6.0,4.0,3,3
2025-04-28 00:00:00+00:00,6.0,3.0,14,8
2025-04-29 00:00:00+00:00,1.0,1.0,21,8
2025-04-30 00:00:00+00:00,,,5,4
