time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-02 00:00:00+00:00,26,15,21,12
2026-02-03 00:00:00+00:00,25,11,27,23
2026-02-04 00:00:00+00:00,20,10,3,3
2026-02-05 00:00:00+00:00,13,8,6,3
2026-02-06 00:00:00+00:00,24,10,4,4
2026-02-07 00:00:00+00:00,6,6,4,4
2026-02-08 00:00:00+00:00,57,20,14,7
2026-02-09 00:00:00+00:00,19,12,36,8
2026-02-10 00:00:00+00:00,8,4,17,13
2026-02-11 00:00:00+00:00,19,8,9,6
2026-02-12 00:00:00+00:00,21,9,6,5
2026-02-13 00:00:00+00:00,38,14,10,5
2026-02-14 00:00:00+00:00,42,19,3,2
2026-02-15 00:00:00+00:00,30,15,5,5
