time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,40,16,6,4
2026-07-17 00:00:00+00:00,16,10,6,2
2026-07-18 00:00:00+00:00,21,13,12,4
2026-07-19 00:00:00+00:00,44,16,2,2
2026-07-20 00:00:00+00:00,13,9,23,11
2026-07-21 00:00:00+00:00,23,9,6,3
2026-07-22 00:00:00+00:00,26,10,4,3
2026-07-23 00:00:00+00:00,37,16,19,3
2026-07-24 00:00:00+00:00,19,15,21,6
2026-07-25 00:00:00+00:00,18,10,21,6
2026-07-26 00:00:00+00:00,19,9,2,2
2026-07-27 00:00:00+00:00,121,16,16,5
2026-07-28 00:00:00+00:00,10,10,5,3
2026-07-29 00:00:00+00:00,6,6,9,5
