referrer,views_total,views_unique
ucsc-ospo.github.io,50,2
summerofcode.withgoogle.com,49,9
the-openroad-project.github.io,24,1
github.com,22,13
Google,20,14
cn.bing.com,4,4
theopenroadproject.org,4,3
Bing,3,3
search.brave.com,3,2
yandex.ru,1,1
